Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2024-25,76,5937,2927,3010,0.493,49,12,0,1
Atlanta Hawks,NBA,1968-69,2024-25,57,4519,2229,2290,0.493,36,6,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,0.55,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,0.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,0.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2024-25,79,6114,3634,2480,0.594,61,34,11,18
Brooklyn Nets,NBA/ABA,1967-68,2024-25,58,4612,2028,2584,0.44,31,5,2,2
Brooklyn Nets,NBA,2012-13,2024-25,13,964,446,518,0.463,8,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,0.42,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,0.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,0.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,0.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2024-25,35,2713,1174,1539,0.433,10,0,0,0
Charlotte Hornets,NBA,2014-15,2024-25,11,793,339,454,0.427,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,0.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,0.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2024-25,59,4680,2383,2297,0.509,36,9,6,6
Cleveland Cavaliers,NBA,1970-71,2024-25,55,4353,2032,2321,0.467,24,7,5,1
Dallas Mavericks,NBA,1980-81,2024-25,45,3543,1797,1746,0.507,25,5,3,1
Denver Nuggets,NBA/ABA,1967-68,2024-25,58,4613,2367,2246,0.513,39,13,1,1
Denver Nuggets,NBA,1976-77,2024-25,49,3869,1954,1915,0.505,30,10,1,1
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,0.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,0.5,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2024-25,77,5998,2827,3171,0.471,42,11,5,3
Detroit Pistons,NBA,1957-58,2024-25,68,5379,2514,2865,0.467,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,0.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2024-25,79,6103,2969,3134,0.486,37,12,7,7
Golden State Warriors,NBA,1971-72,2024-25,54,4271,2081,2190,0.487,20,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,0.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,0.506,12,3,0,2
Houston Rockets,NBA,1967-68,2024-25,58,4606,2369,2237,0.514,34,8,4,2
Houston Rockets,NBA,1971-72,2024-25,54,4278,2250,2028,0.526,33,8,4,2
